"theme_l1";"theme_l2";"theme_l3";"concept_text_long";"item_name";"variable_label";"source";"measure_wave";"suf_index";"data_collection_a";"mode_a";"item_id";"item_version";"concept_id";"concept_version";"sort_id"
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other Reasons for terminating VET contract;ficreasendindff13;Health/psychological issues (Other Reasons for terminating VET contract);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1807;1826;1600;1601;"2020303400                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other Reasons for terminating VET contract;ficreasendindff14;Family moved/relocation (Other Reasons for terminating VET contract);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1808;1827;1600;1601;"2020303410                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other Reasons for terminating VET contract;ficreasendindff15;Other family-related reasons (Other Reasons for terminating VET contract);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1809;1828;1600;1601;"2020303420                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other Reasons for terminating VET contract;ficreasendindff19;Other reasons (Other Reasons for terminating VET contract);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1733;1749;1600;1601;"2020303430                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Decision to discontinue training at firm: who;fireasend;Who decided the ending? (Decision to discontinue training at firm: who);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1353;1855;1604;1605;"2020303440                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Discontinued firm episode: conflicts with whom;fireasendi2p1;Problems with VET trainer (Discontinued firm episode: conflicts with whom);TREE;"2";Episodic;Base (BQ);CATI;1826;1889;1703;1704;"2020303450                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Discontinued firm episode: conflicts with whom;fireasendi2p2;Problems with teachers (Discontinued firm episode: conflicts with whom);TREE;"2";Episodic;Base (BQ);CATI;1827;1890;1703;1704;"2020303460                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Discontinued firm episode: conflicts with whom;fireasendi2p3;Problems with other trainees (Discontinued firm episode: conflicts with whom);TREE;"2";Episodic;Base (BQ);CATI;1829;1892;1703;1704;"2020303470                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Discontinued firm episode: conflicts with whom;fireasendi2p4;Problems with supervisors (Discontinued firm episode: conflicts with whom);TREE;"2";Episodic;Base (BQ);CATI;1830;1893;1703;1704;"2020303480                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Discontinued firm episode: conflicts with whom;fireasendi2p5;Problems with other students (Discontinued firm episode: conflicts with whom);TREE;"2";Episodic;Base (BQ);CATI;1831;1894;1703;1704;"2020303490                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Discontinued firm episode: conflicts with whom;fireasendi2p6;Problems with other persons (Discontinued firm episode: conflicts with whom);TREE;"2";Episodic;Base (BQ);CATI;1832;1895;1703;1704;"2020303500                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Reasons for discontinuing training at firm;fireasendind2;Problems with other people (Reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1499;1515;1605;1606;"2020303510                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Reasons for discontinuing training at firm;fireasendind4;Education not met expectations (Reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1496;1857;1605;1606;"2020303520                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Reasons for discontinuing training at firm;fireasendind5;Education was boring / unpleasant (Reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1503;1858;1605;1606;"2020303530                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Reasons for discontinuing training at firm;fireasendind6;Insufficient marks / evaluations (Reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1492;1508;1605;1606;"2020303540                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Reasons for discontinuing training at firm;fireasendind7;Not taught enough (Reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1493;1509;1605;1606;"2020303550                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Reasons for discontinuing training at firm;fireasendind10;Dissatisfied with (future) income (Reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1494;1856;1605;1606;"2020303560                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff0;No, no further reasons (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1810;1829;1606;1607;"2020303570                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff1;Other training in prospect (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1745;1761;1606;1607;"2020303580                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff3;Content was too difficult (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1742;1758;1606;1607;"2020303590                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff8;Overly stringent regulations (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1741;1757;1606;1607;"2020303600                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff9;Inconvenient attendance times (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1740;1756;1606;1607;"2020303610                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff11;Too often absent (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1739;1755;1606;1607;"2020303620                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff12;Institution was closed down (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1743;1759;1606;1607;"2020303630                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff13;Health/psychological issues (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1811;1830;1606;1607;"2020303640                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff14;Family moved/relocation (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1812;1831;1606;1607;"2020303650                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff15;Other family-related reasons (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1819;1881;1606;1607;"2020303660                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Attended training firms;Other reasons for discontinuing training at firm;fireasendindff19;Other reasons (Other reasons for discontinuing training at firm);"TREE; German National Educational Panel Study (NEPS)";"1, 2";Episodic;Base (BQ);CATI;1744;1760;1606;1607;"2020303670                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Information source apprenticeship place;Information source apprenticeship place;ficinfosource;How did you learn about this place? (Information source apprenticeship place);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Episodic;Base (BQ);CATI;1348;1364;1595;1596;"2020303671                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Skills requirements for educational activities & media use;Computer use: frequency (in school) [End of lower sec. educ.];ictsc;Computer use: frequency (in school) [End of lower sec. educ.];"ICILS 2013; Jung and Carstens (2015)";"0";Wave-specific;Base (BQ);CASI;458;586;1129;1130;"2020403780                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Skills requirements for educational activities & media use;Computer use: test language class (frequency) [End of lower sec. educ.];ictsc1;Computer use: test language class (frequency) [End of lower sec. educ.];"ICILS 2013; Jung and Carstens (2015)";"0";Wave-specific;Base (BQ);CASI;295;495;1121;1122;"2020403790                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Skills requirements for educational activities & media use;Computer use: foreign language class (frequency) [End of lower sec. educ.];ictsc2;Computer use: foreign language class (frequency) [End of lower sec. educ.];"ICILS 2013; Jung and Carstens (2015)";"0";Wave-specific;Base (BQ);CASI;118;356;1123;1124;"2020403800                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Skills requirements for educational activities & media use;Computer use: mathematic class (frequency) [End of lower sec. educ.];ictsc3;Computer use: mathematic class (frequency) [End of lower sec. educ.];"ICILS 2013; Jung and Carstens (2015)";"0";Wave-specific;Base (BQ);CASI;592;476;18;55;"2020403810                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Skills requirements for educational activities & media use;Computer use: other subjects (frequency) [End of lower sec. educ.];ictsc4;Computer use: other subjects (frequency) [End of lower sec. educ.];"ICILS 2013; Jung and Carstens (2015)";"0";Wave-specific;Base (BQ);CASI;119;183;1122;1123;"2020403820                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Intention to quit [educ.];edquit_comp;Intention to quit;TREE;"1, 2";Wave-specific;Complementary (CQ);Web/PP;1958;2025;1101;1102;"2020503860                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Intention to quit [educ.];edquit1;How often do you consider changing the educational programme (Intention to quit);TREE;"1, 2";Wave-specific;Complementary (CQ);Web/PP;1028;1028;1101;1102;"2020503870                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Intention to quit [educ.];edquit2;How often do you consider quitting your education (Intention to quit);TREE;"1, 2";Wave-specific;Complementary (CQ);Web/PP;1029;1029;1101;1102;"2020503880                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Absenteeism [educ.];edabse;Number of sick days at school/training past 4 weeks;TREE;"1, 2";Wave-specific;Complementary (CQ);Web/PP;1030;1030;1103;1104;"2020503890                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Truancy [educ.];edtruancy_comp;Truancy;"TREE;  PISA 2000;  PISA 2012;  Kunter et al. (2002)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1959;2026;1076;1077;"2020503900                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Truancy [educ.];edtruancy2;Skip classes/fail to show up at training firm in the past 4 weeks (Truancy);"TREE;  PISA 2000;  PISA 2012;  Kunter et al. (2002)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1031;1031;1076;1077;"2020503910                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Delay [educ.];edtruancy3;Arrive late for school/at training firm in the past 4 weeks (Delay);"TREE;  PISA 2000;  PISA 2012;  Kunter et al. (2002)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1032;1032;1077;1078;"2020503920                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Absenteeism / truancy [End of lower sec. educ.];truancy_fs;Absenteeism / truancy [End of lower sec. educ.];"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;195;241;1149;1150;"2020503930                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Absenteeism / truancy;truancy1;Skip whole school day (Truancy);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;110;140;183;192;"2020503940                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Absenteeism / truancy;truancy2;Skip classes (Truancy);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;111;144;183;192;"2020503950                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Lateness [End of lower sec. educ.];truancy3;Late for school (Lateness);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;226;526;1148;1149;"2020503960                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Absenteeism/intention to change education;Intention to quit [training firm];fiquitc;How often do you consider changing your training firm? (Intention to quit);TREE;"1, 2";Wave-specific;Complementary (CQ);Web/PP;1063;1063;1033;1033;"2020503970                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [educ.];scvar_fs;Variety of tasks;"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1928;1995;1090;1091;"2020603980                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [educ.];scvar1;I can learn a lot in my classes (Variety of tasks);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1005;1005;1090;1091;"2020603990                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [educ.];scvar2;The lessons are diversified (Variety of tasks);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1009;1009;1090;1091;"2020604000                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [educ.];scvar4;Classes at my school are interesting (Variety of tasks);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1012;1012;1090;1091;"2020604010                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [educ.];scsca_fs;Scope of action;"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1929;1996;1092;1093;"2020604020                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [educ.];scsca1;I have a say in what I must learn/do in class (Scope of action);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1006;1006;1092;1093;"2020604030                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [educ.];scsca2;I can decide myself how I carry out tasks in class (Scope of action);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1007;1007;1092;1093;"2020604040                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [educ.];scsca3;It's up to me how I schedule my assignments in class (Scope of action);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1011;1011;1092;1093;"2020604050                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [educ.];scove_fs;Strain;"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1930;1997;1082;1083;"2020604060                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain: Time pressure [educ.];scovpr_comp;Strain: Time pressure [educ.];"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1979;2046;1204;1205;"2020604070                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain: Excessive demands [educ.];scovex_comp;Strain: Excessive demands [educ.];"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1980;2047;1205;1206;"2020604080                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [educ.];scove1;At school, I am pressed for time (Strain);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1014;1014;1082;1083;"2020604090                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [educ.];scove3;I have too much to do at school (Strain);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1008;1008;1082;1083;"2020604100                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [educ.];scove4;In class I feel out of my depth (Strain);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1010;1010;1082;1083;"2020604110                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [educ.];scove8;I have to learn things that are too complicated for me (Strain);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1013;1013;1082;1083;"2020604120                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Social support [educ.];scsoc_comp;Social support 1;"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1956;2023;1081;1082;"2020604130                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Social support [educ.];scsoc2;I can rely on my schoolmates in case of trouble at school (Social support 1);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1015;1015;1081;1082;"2020604140                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Social support [educ.];scsoc3;I can rely on my teachers in case of trouble at school (Social support 1);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1016;1016;1081;1082;"2020604150                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Teaching skills of teachers [educ.];scqua_fs;Teaching skills;"TREE;  Neuenschwander et al. (1998)";"1";Wave-specific;Complementary (CQ);Web/PP;1931;1998;1026;1026;"2020604160                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Teaching skills of teachers [educ.];scqua1;I am very satisfied with my teachers (Teaching skills);"TREE;  Neuenschwander et al. (1998)";"1";Wave-specific;Complementary (CQ);Web/PP;1020;1020;1026;1026;"2020604170                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Teaching skills of teachers [educ.];scqua2;Teachers are good at explaining things (Teaching skills);"TREE;  Neuenschwander et al. (1998)";"1";Wave-specific;Complementary (CQ);Web/PP;1017;1017;1026;1026;"2020604180                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Teaching skills of teachers [educ.];scqua3;Teachers tell me if I did a task well or not (Teaching skills);"TREE;  Neuenschwander et al. (1998)";"1";Wave-specific;Complementary (CQ);Web/PP;1019;1019;1026;1026;"2020604190                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Professional skills of teachers [educ.];scqua8;Teachers are well versed in their area of expertise (Professional skills);"TREE;  Neuenschwander et al. (1998)";"1";Wave-specific;Complementary (CQ);Web/PP;1018;1018;1096;1097;"2020604200                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [training firm];fivar_fs;Variety of tasks [training firm];"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1933;2000;1089;1090;"2020604210                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [training firm];fivar1;I can learn a lot at work (Variety of tasks [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1036;1036;1089;1090;"2020604220                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [training firm];fivar2;My tasks at work are diversified (Variety of tasks [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1037;1037;1089;1090;"2020604230                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Variety of tasks [training firm];fivar3;At work I can fully apply my knowledge/skills (Variety of tasks [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1039;1039;1089;1090;"2020604240                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [training firm];fisca_fs;Scope of action [training firm];"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1934;2001;1093;1094;"2020604250                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [training firm];fisca1;I have a say in what work I have to do (Scope of action [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1038;1038;1093;1094;"2020604260                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [training firm];fisca2;I can decide myself how I carry out tasks (Scope of action [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1041;1041;1093;1094;"2020604270                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Scope of action [training firm];fisca3;It's up to me how I schedule my work (Scope of action [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1043;1043;1093;1094;"2020604280                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [training firm];fiove_fs;Strain [training firm];"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1935;2002;1080;1081;"2020604290                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain: Time pressure [training firm];fiovpr_comp;Strain: Time pressure [training firm];"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1975;2042;1200;1201;"2020604300                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain: Excessive demands [training firm];fiovex_comp;Strain: Excessive demands [training firm];"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1976;2043;1201;1202;"2020604310                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [training firm];fiove1;At work, I am pressed for time (Strain [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1040;1040;1080;1081;"2020604320                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [training firm];fiove3;I have too much to do (Strain [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1042;1042;1080;1081;"2020604330                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [training firm];fiove4;At work I feel out of my depth (Strain [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1044;1044;1080;1081;"2020604340                    "
Education & training - employment;Educational situation (general, school & training firm) & post-compulsory pathways;Resources & strains (education);Strain [training firm];fiove5;I have to manage tasks that are too complicated for me (Strain [training firm]);"TREE;  Zapf et al. (1983);  Prümper, Hartmannsgruber, and Frese (1995);  Semmer, Zapf, and Dunckel (1999)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1045;1045;1080;1081;"2020604350                    "
